"cn","prev_plt_cn","state","county","fips","measyr","invyr","remper","plot_status_cd","lat","lon","elev","slope","aspect","nconds","max_condprop","reservcd","owncd","owngrpcd","fortypcd","stdage","stdszcd","dominant_species","dominant_conifer","dominant_hardwood","tpa","wp_tpa","conifer_tpa","ba","wp_ba","conifer_ba","qmd","netbdft","wp_netbdft","grosscuft","wp_grosscuft","netcuft","wp_netcuft","sward","wp_sward","conifer_sward","prop_conifer","prop_wp_conifer","LC"
168998772010661,74339299010538,44,7,44007,2011,2010,5,1,41.934569,-71.594179,563,0,0,1,1,0,46,40,505,83,1,833,129,833,198.595518,24.072184,24.072184,143.079933,9.258154,9.258154,11.4932,11357.156807,399.656497,3747.371732,169.090603,3357.315318,162.808365,0.834004,0.040523,0.040523,0.0647061667270979,1,"Deciduous"
168998798010661,74339584010538,44,7,44007,2011,2010,5,1,41.975304,-71.386422,209,-9999,-9999,2,0.803269,-9999,-9999,-9999,-9999,-9999,-9999,129,129,316,30.09023,12.036092,12.036092,33.3285,26.919413,26.919413,14.250544,3874.370665,3874.370665,953.845896,823.847165,860.788333,741.462445,0.126982,0.08407,0.08407,0.807699506428432,1,"White Pine"
168998760010661,62271626010538,44,9,44009,2011,2010,6,1,41.556682,-71.516627,296,0,0,2,0.528241,0,32,30,519,70,1,316,0,316,1052.783264,0,0,70.13815,0,0,3.494974,1564.258631,0,756.918851,0,633.510152,0,0.538484,0,0,0,NA,"Deciduous"
168998768010661,74340533010538,44,9,44009,2011,2010,4,1,41.419907,-71.796348,85,5,195,3,0.621346,0,46,40,520,79,1,316,0,316,183.29011,0,0,72.771639,0,0,8.531941,5125.842311,0,1989.388782,0,1717.359057,0,0.360705,0,0,0,NA,"Deciduous"
168998806010661,74340611010538,44,9,44009,2011,2010,5,1,41.510036,-71.647776,226,5,320,1,1,0,46,40,515,81,1,316,129,316,543.331698,167.984702,167.984702,114.132886,7.193885,7.193885,6.205963,6392.517835,0,2575.487714,31.385632,2240.784247,30.075895,0.68875,0.046256,0.046256,0.0630307815049906,1,"Deciduous"
168998788010661,74340397010538,44,9,44009,2011,2010,5,1,41.555185,-71.693898,265,5,345,1,1,0,31,30,103,72,1,129,129,531,726.101222,558.11652,558.11652,196.25441,188.154087,188.154087,7.039591,25575.135159,25575.135159,5678.467554,5566.408889,5190.094178,5084.965011,0.689713,0.620205,0.620205,0.958725396285362,1,"White Pine"
221354510010661,74338406010538,44,3,44003,2012,2011,5,1,41.689285,-71.736001,488,22,285,1,1,0,46,40,503,59,2,129,129,316,522.52883,42.126322,42.126322,108.378928,27.724898,27.724898,6.166711,4264.806938,2869.264528,2179.705232,733.085553,1922.463092,674.188761,0.664486,0.101336,0.101336,0.255814469764824,1,"Mixed"
221354506010661,122556709010661,44,3,44003,2011,2011,-9999,1,41.654999,-71.581914,369,-9999,-9999,2,0.673528,-9999,-9999,-9999,-9999,-9999,-9999,806,126,806,414.204002,0,305.879174,42.810151,0,3.854415,4.353139,256.678466,0,760.167434,0,700.895392,0,0.324681,0,0.041569,0.0900350713549223,0,"Deciduous"
221354522010661,74338931010538,44,5,44005,2011,2011,-9999,1,41.649304,-71.190853,324,10,120,3,0.445154,0,46,40,503,81,1,316,0,316,153.19988,0,0,62.592327,0,0,8.655011,3713.040103,0,1466.580785,0,1258.59457,0,0.358797,0,0,0,NA,"Deciduous"
221354534010661,74338816010538,44,5,44005,2011,2011,4,1,41.551827,-71.180954,178,0,0,2,0.840823,0,46,40,503,78,1,316,0,316,336.48999,0,0,114.39792,0,0,7.89513,4995.707633,0,2497.399963,0,2232.447447,0,0.702864,0,0,0,NA,"Deciduous"
221354508010661,74339045010538,44,7,44007,2012,2011,5,1,41.762608,-71.72096,739,0,0,1,1,0,46,40,519,68,2,316,0,316,210.63161,0,0,102.844743,0,0,9.461622,3785.924923,0,2434.749113,0,2129.613497,0,0.583749,0,0,0,NA,"Deciduous"
221354498010661,74339029010538,44,7,44007,2012,2011,-9999,1,41.952991,-71.546407,421,14,280,1,1,0,32,30,801,83,1,833,129,833,273.5608,87.001374,87.001374,213.172861,43.463345,43.463345,11.952956,22481.212485,6328.744638,6198.392064,1288.202959,5299.216584,1167.867826,1.037031,0.137746,0.137746,0.203887796955542,1,"Deciduous"
221354542010661,122556745010661,44,7,44007,2011,2011,4,1,41.745184,-71.586035,461,16,135,1,1,0,32,30,103,79,1,129,129,837,1625.684606,1577.540238,1577.540238,160.776615,115.605779,115.605779,4.258235,16049.325068,11906.971399,3940.013573,2701.946781,3577.6446,2469.847874,0.748091,0.491561,0.491561,0.719045981904769,1,"White Pine"
221354500010661,122556705010661,44,7,44007,2012,2011,4,1,41.895317,-71.595532,529,5,33,1,1,0,46,40,503,82,1,372,0,372,486.420554,0,0,101.824934,0,0,6.19523,4910.281284,0,2341.077992,0,2063.037382,0,0.712628,0,0,0,NA,"Deciduous"
