"cellID","lon","lat","grnt_Opn","grnt_Oth","grnt_Dec","grnt_Mxd","grnt_Evg","grnt_WP","nlcd_Opn","nlcd_Oth","nlcd_Dec","nlcd_Mxd","nlcd_Evg","el","rugg","temp","seas","precip","pop","homes","roads","pWP","Fit"
1,702000,4746000,0.1311,0.15388,0.11766,0.38848,0.07485,0.13403,0.0716,0.1333,0.1697,0.1753,0.4501,144.34025,2.63611,93.65491,353.64412,1170.0625,786.1003321,3.871067234,23989.01997,35.8723,1
2,702000,4749000,0.017089829,0.065239348,0.380206198,0.397826022,0.103328967,0.036309637,0.0364,0.0576,0.5208,0.1575,0.2277,233.56552,4.92849,88.98899,352.73468,1282.75,154.2942171,3.461169227,14325.94652,20.4972,1
3,702000,4752000,0.04023,0.11855,0.20621,0.47214,0.07912,0.08375,0.0172,0.1186,0.317,0.166,0.3812,210.34842,3.85484,89.16429,353.30029,1267.3125,192.558983,2.174245351,19301.60863,25.8816,1
4,705000,4743000,0.14009,0.08606,0.27741,0.37353,0.10226,0.02065,0.0738,0.1131,0.4036,0.1199,0.2896,177.52212,4.56684,92.59167,353.06529,1251.083333,1131.275346,2.853530805,23050.64827,27.65683,1
5,705000,4746000,0.01994,0.04361,0.18859,0.44446,0.28462,0.01878,0.0083,0.0531,0.3943,0.1783,0.366,297.89593,4.32747,85.59211,351.53838,1405.9375,124.0195262,1.614255705,5986.75471,23.2181,1
6,705000,4749000,0.01869,0.03604,0.22962,0.45443,0.23977,0.02145,0.0106,0.0399,0.3621,0.2551,0.3323,339.05104,4.25411,82.45625,351.11675,1404.875,76.94391878,2.919164729,6170.29651,20.2363,1
7,705000,4752000,0.066750668,0.255782558,0.213602136,0.326363264,0.078230782,0.059270593,0.0253,0.2464,0.2443,0.1708,0.3132,250.50866,3.09786,86.68199,352.77487,1338.1875,220.1384282,2.572885659,20455.80804,25.433,1
8,705000,4755000,0.096830968,0.13795138,0.265132651,0.398363984,0.068350684,0.033370334,0.0444,0.1818,0.3743,0.1551,0.2444,251.80606,3.17404,87.00893,353.23941,1265.25,370.9414647,53.76409118,29569.9653,27.6774,1
9,705000,4758000,0.01175,0.06337,0.35244,0.449,0.09167,0.03177,0.0078,0.0821,0.4893,0.197,0.2238,282.03892,3.97044,84.87991,353.1103,1220.5625,179.7635073,9.096088364,9971.37884,21.8492,1
10,708000,4740000,0.03729,0.04646,0.32743,0.4992,0.07556,0.01406,0.0265,0.0533,0.4691,0.1518,0.2993,231.9483,3.95733,89.0808,351.88208,1282,180.5526837,2.83641381,16086.07476,20.8192,1
11,708000,4743000,0.080630806,0.029810298,0.151121511,0.435214352,0.273852739,0.029370294,0.0335,0.0425,0.3636,0.1387,0.4217,198.24921,4.28312,90.94226,352.74785,1180.083333,173.1421475,0.765654937,7663.66741,25.48426,1
12,708000,4746000,0.000799992,0.096479035,0.096209038,0.447485525,0.340066599,0.01895981,0,0.0746,0.3151,0.156,0.4543,269.56272,3.78191,87.22828,352.15094,1132.875,9.929004866,0,0,22.9127,1
13,708000,4749000,9e-05,0.058739413,0.264507355,0.464485355,0.185298147,0.026879731,0,0.0549,0.4452,0.1875,0.3124,266.10474,3.3953,86.39122,352.3855,1091.3125,34.57793487,1.132284488,4723.38481,17.7964,1
14,708000,4752000,0.008450085,0.07200072,0.235582356,0.48095481,0.193841938,0.009170092,7e-04,0.0607,0.4166,0.2104,0.3116,275.68126,3.00485,85.17753,352.49867,1216.9375,59.10142543,2.226699773,3756.82029,17.5562,1
15,708000,4755000,0.12201878,0.34202658,0.17301827,0.283457165,0.035689643,0.043789562,0.0482,0.3857,0.2095,0.1366,0.22,242.07578,2.45951,86.76806,353.39983,1188,499.6993243,78.29917047,33732.83592,33.5873,1
16,708000,4758000,0.05117,0.16492,0.11828,0.43263,0.089,0.144,0.0146,0.1396,0.208,0.1613,0.4765,185.96667,2.9361,90.20774,354.74894,983.4375,278.8032656,42.50712204,17776.04751,31.1009,1
17,708000,4761000,0.10226,0.15504,0.16331,0.38902,0.0647,0.12567,0.032279677,0.171288287,0.212277877,0.121188788,0.46296537,177.11818,3.41261,89.0936,354.89907,1160.5,274.9025868,2.88806084,22430.75229,31.796,1
18,708000,4764000,0.052419476,0.094699053,0.263707363,0.465555344,0.093889061,0.029729703,0.0171,0.1409,0.2798,0.1924,0.3698,198.11133,4.6627,87.31746,354.76306,1243.5,121.2139163,1.484148094,17775.69658,23.5404,1
