category,min,max,mean,stddev,sum,count
11542,0.042067003,0.042067003,0.042067003,nan,0.042067003,1
11543,0.042066992,0.042066992,0.042066992,nan,0.042066992,1
11540,0.042066992,0.042066992,0.042066992,nan,0.042066992,1
11541,0.042066992,0.042066992,0.042066992,nan,0.042066992,1
11546,0.042066992,0.042066992,0.042066992,nan,0.042066992,1
11547,0.042067003,0.042067003,0.042067003,nan,0.042067003,1
11544,0.042067003,0.042067003,0.042067003,nan,0.042067003,1
11545,0.042066992,0.042066992,0.042066992,nan,0.042066992,1
11548,0.042066992,0.042066992,0.042066992,nan,0.042066992,1
11549,0.016671213,0.021913729,0.019292471,0.00370701861408,0.038584942,2
5988,0.202926895,0.202926895,0.202926895,nan,0.202926895,1
5989,0.208184306,0.208184306,0.208184306,nan,0.208184306,1
19399,0.048762719,0.048762719,0.048762719,nan,0.048762719,1
19398,0.048762732,0.048762732,0.048762732,nan,0.048762732,1
5982,0.053570822,0.053570822,0.053570822,nan,0.053570822,1
19396,0.048762719,0.048762719,0.048762719,nan,0.048762719,1
5980,0.078762289,0.078762289,0.078762289,nan,0.078762289,1
5981,0.07876231,0.07876231,0.07876231,nan,0.07876231,1
19393,0.048762719,0.048762719,0.048762719,nan,0.048762719,1
5987,0.034175369,0.034175369,0.034175369,nan,0.034175369,1
19391,0.031119385,0.031119385,0.031119385,nan,0.031119385,1
28561,0.420616845,0.420616845,0.420616845,nan,0.420616845,1
29237,0.267308796,0.267308796,0.267308796,nan,0.267308796,1
270,0.016286558,4.447334131,2.2318103445,3.13322378663,4.463620689,2
271,0.906514756,0.906514756,0.906514756,nan,0.906514756,1
19971,0.263498086,0.263498086,0.263498086,nan,0.263498086,1
19970,0.105501483,0.132682058,0.1190917705,0.019219568899,0.238183541,2
16709,0.04458279,0.04458279,0.04458279,nan,0.04458279,1
16708,0.010240137,0.263248228,0.1367441825,0.178903736841,0.273488365,2
276,0.912978298,0.912978298,0.912978298,nan,0.912978298,1
