lon,lat,CellID,grnt_Opn,grnt_Oth,grnt_Dec,grnt_Mxd,grnt_Evg,grnt_WP,nlcd_Opn,nlcd_Oth,nlcd_Dec,nlcd_Mxd,nlcd_Evg,el,rugg,temp,precip,seas,pop,homes,roads,pWP,Train
700029,4748883.6,1,0.0056,0.0012,0.6876,0.2376,0.0568,0.0112,0,0.003546099,0.680851064,0.204787234,0.110815603,305.947826,7.520686289,84.61667061,1384.75,351.4771652,20.03880181,0.842850889,0,13.13897691,TRUE
700029,4750297.8,2,0,0,0.598,0.2716,0.1052,0.0252,0,0.005208333,0.630642361,0.253038194,0.111111111,243.6509664,6.577010825,87.49642944,1340,352.5204163,17.03229086,1.015713028,394.8340769,12.6156632,TRUE
701443.2,4744641,3,0.244,0.168,0.0988,0.3104,0.0408,0.138,0.139429606,0.140787687,0.091444092,0.170665459,0.457673155,107.6477259,1.777412752,95.6523819,999,353.9290771,288.7043032,0.363336076,9417.013617,40.14440923,TRUE
701443.2,4746055.2,4,0.0372,0.1244,0.1056,0.5256,0.132,0.0752,0.013580806,0.088275238,0.287913083,0.151199638,0.459031236,134.7053914,2.574013787,94.12142944,1061,353.9082336,61.01282074,0.180426865,4689.783092,33.79432624,TRUE
701443.2,4747469.4,5,0.028,0.0696,0.2956,0.4184,0.108,0.0804,0.003168855,0.029877773,0.596197374,0.078768674,0.291987325,173.4230015,3.657732987,93.70119095,1122,353.9274902,41.48997794,0.349378686,2231.996849,26.06247171,TRUE
701443.2,4748883.6,6,0,0.0248,0.7516,0.1788,0.0364,0.0084,4.53E-04,0.023992757,0.817564509,0.094160254,0.063829787,287.3378326,6.104506534,87.68809509,1298.5,352.4243622,19.35929116,0.873318203,333.4918556,11.24807605,TRUE
701443.2,4750297.8,7,0.004,0.0448,0.522,0.3176,0.026,0.0856,0.006205674,0.053634752,0.57358156,0.114804965,0.25177305,212.7434136,4.294319138,89.88095093,1318,353.1897583,24.20787356,0.714253696,3169.161831,19.78270711,TRUE
701443.2,4751712,8,0.0624,0.0256,0.114,0.522,0.1228,0.1532,0.028066999,0.084653689,0.153010412,0.134902671,0.599366229,187.5868459,4.235309344,89.23690414,1319,353.2550659,51.36859731,1.424590739,7415.514025,32.59846084,TRUE
702857.4,4743226.8,9,0.124,0.0672,0.0428,0.2612,0.1428,0.362,0.081484835,0.080579448,0.027614305,0.157537347,0.652784065,104.0889579,1.365265396,95.75417137,1090.75,353.9879227,173.9714984,0.633948324,4267.251684,51.01595745,TRUE
702857.4,4744641,10,0.2228,0.2308,0.0804,0.2572,0.0488,0.16,0.144861928,0.191942055,0.040742417,0.127659574,0.494794024,114.2520161,0.997185963,95.16666412,1127.5,353.9824371,324.9576343,1.317800257,8908.234706,43.79521277,TRUE
702857.4,4746055.2,11,0.1736,0.2468,0.1488,0.3188,0.0408,0.0712,0.058397465,0.263920326,0.196016297,0.104119511,0.377546401,139.367731,1.76288511,93.82142448,1181.5,353.7554321,135.4994794,0.510846137,6306.656274,36.02170139,TRUE
702857.4,4747469.4,12,0.024,0.0288,0.4624,0.3872,0.0856,0.012,0.009959258,0.027161612,0.693979176,0.108193753,0.160706202,223.6451182,5.527035818,91.34583092,1249.25,353.2183304,32.96761216,0.567112866,3354.588749,19.4964539,TRUE
702857.4,4748883.6,13,0.008,0.0984,0.4404,0.3832,0.038,0.032,0.004526935,0.090538705,0.621095518,0.149841557,0.133997284,265.6070693,4.33744024,86.3035717,1323,352.1582565,27.41586139,0.731005038,2587.865525,15.02925532,TRUE
702857.4,4750297.8,14,0.0112,0.0776,0.32,0.4808,0.0916,0.0188,0,0.090425532,0.605939716,0.147606383,0.156028369,265.8908525,4.651452959,85.98452377,1314.5,352.3166199,36.33607215,0.269884092,3329.27111,16.89228723,TRUE
702857.4,4751712,15,0.0192,0.1764,0.1764,0.4648,0.078,0.0852,0.004074242,0.171570847,0.291987325,0.135355364,0.397012223,216.1779982,4.076941734,88.07559395,1298.5,353.0463715,39.17553494,0.353068014,1858.879579,22.66356383,TRUE
702857.4,4753126.2,16,0.2196,0.1188,0.0776,0.4448,0.072,0.0672,0.112267995,0.16296967,0.111815301,0.084200996,0.528746039,158.0626786,3.230137782,90.93273735,1261.25,353.9875641,120.2464692,0.884460453,7379.024493,33.11631944,TRUE
702857.4,4754540.4,17,0.1016,0.1208,0.2724,0.418,0.0372,0.05,0.044363966,0.126754187,0.444997737,0.048890901,0.33499321,220.3285453,3.858541585,89.88035393,1285.25,353.9697952,140.0970945,1.762005893,6877.834981,29.43439716,TRUE
702857.4,4755954.6,18,0.0352,0.0208,0.1032,0.6204,0.1408,0.0796,0.003168855,0.025350837,0.186057039,0.274784971,0.510638298,262.2407032,4.567718851,87.64761734,1324.5,353.5063477,42.83849436,0.428658884,4136.573743,28.65558511,TRUE
702857.4,4757368.8,19,0.018,0.0088,0.3172,0.5564,0.0772,0.0224,0.001358081,0.002263468,0.501131734,0.202354006,0.292892712,275.6946794,4.752612496,86.87380791,1331,353.5070801,16.68810866,0.2115482,1389.469518,20.96719858,TRUE
702857.4,4758783,20,0.008,0.0088,0.3496,0.5652,0.048,0.0204,0,0,0.222960993,0.370567376,0.406471631,231.7166768,4.200481877,86.7136879,1291.25,353.577858,11.21218051,0.097385677,4472.043112,21.15514184,TRUE
704271.6,4740398.4,21,0.4344,0.3976,0.136,0.022,0,0.01,0.303304663,0.418288818,0.128112268,0.052965143,0.097329108,84.08785738,1.69831863,97.97857285,1016.5,354.2911987,859.8574434,1.243283317,14829.44838,30.62810284,TRUE
704271.6,4741812.6,22,0.2236,0.0668,0.3108,0.2696,0.0148,0.1144,0.085992908,0.128989362,0.36391844,0.073138298,0.347960993,132.1475283,3.051405153,95.22916985,1141.25,353.643425,336.7804636,0.893228615,5526.459592,35.42689,TRUE
704271.6,4743226.8,23,0.128,0.0532,0.2524,0.4452,0.012,0.1092,0.058850158,0.064735174,0.310547759,0.129923042,0.435943866,178.6003128,4.151514928,91.37023735,1323.5,352.891449,81.92483391,1.354659583,6498.740209,35.20688094,TRUE
704271.6,4744641,24,0.0212,0.022,0.2316,0.532,0.1048,0.0884,0.004979629,0.032593934,0.437301947,0.167496605,0.357627886,213.3066039,4.94886538,89.32262039,1389,352.4934082,49.54316627,1.548223946,1062.024459,23.50067904,TRUE
704271.6,4746055.2,25,0.006,0.0048,0.2556,0.5424,0.18,0.0112,0.004979629,0.026708918,0.486645541,0.221367134,0.260298778,280.4300289,6.260375076,87.40714264,1426,352.085083,50.13980071,1.492275238,952.7386011,18.59042553,TRUE
704271.6,4747469.4,26,0.032,0.0204,0.1648,0.5556,0.2216,0.0056,0.014486193,0.048890901,0.261656858,0.339972838,0.33499321,295.9493216,5.328425408,84.61725998,1449.75,351.4296646,44.35635107,1.319398845,2277.903237,21.16206428,TRUE
704271.6,4748883.6,27,0.012,0.036,0.2488,0.5176,0.1448,0.0408,0.16296967,0.049796288,0.262562245,0.182888185,0.341783612,243.189912,4.815779659,87.83690453,1306,352.6627045,28.29103663,1.692627493,4193.085488,22.26210955,TRUE
704271.6,4750297.8,28,0.0048,0.1916,0.2056,0.3916,0.074,0.1324,0.004432624,0.110815603,0.24822695,0.227836879,0.408687943,192.013196,3.422360849,90.3571434,1160.5,353.614151,48.7997407,0.104111928,5161.085143,29.90086012,TRUE
704271.6,4751712,29,0.0756,0.21,0.046,0.4752,0.1008,0.0924,0.034857402,0.14893617,0.103666818,0.137166139,0.575373472,180.8137962,2.770147546,90.88869095,1174.5,353.8582916,71.9514306,0.664486743,3948.227327,32.34087823,TRUE
704271.6,4753126.2,30,0.1904,0.1224,0.1676,0.3776,0.1,0.042,0.092802173,0.213218651,0.23494794,0.144861928,0.314169307,214.8445893,2.505162039,90.00654793,1251.75,353.8131943,63.83474535,1.246092732,6254.224964,30.87322695,TRUE
704271.6,4754540.4,31,0.0884,0.2328,0.196,0.3592,0.092,0.0316,0.022181983,0.25667723,0.3286555,0.097781802,0.294703486,255.6903328,3.229692584,86.93571663,1347.75,353.2098618,81.52014598,1.136702121,6428.575185,23.58261657,TRUE
704271.6,4755954.6,32,0.0084,0.042,0.2176,0.5312,0.1768,0.024,0.001358081,0.057492078,0.433680398,0.219103667,0.288365776,307.6540141,3.335919946,83.07499695,1409,352.3465271,36.70271019,0.317584009,456.0856453,24.74966048,TRUE
704271.6,4757368.8,33,0,0,0.3748,0.484,0.1192,0.022,0.018107741,0.043911272,0.494341331,0.293798099,0.149841557,315.0689107,4.461838945,83.0904808,1383,352.5325089,13.22899391,0.405658759,526.597241,15.91760978,TRUE
704271.6,4758783,34,0.0116,0.0252,0.4552,0.4208,0.0556,0.0316,0.005319149,0.020390071,0.429521277,0.263297872,0.281471631,250.6104285,4.553886049,85.29107475,1328.75,353.266304,6.862820141,0.731910287,994.2943947,17.73743775,TRUE
