"V1","V2","V3","V4","V5"
0,0.936445439,0.13566004213566,0.486031581486032,0
0,0,0,0.513968418513968,0.989411362
0.142658751142659,0.063554561,0,0,0
0,0,0.783980492783981,0,0
0.857341248857341,0,0,0,0.496426040496426
0,1,0.21601950721602,0.08650246,0
0,0,0,0.91349754,0.503573959503574
0.840861718840862,0,0,0,0
0,0,0,0,0.0125725570125726
0.159138281159138,0,0,0.311380199934141,0.856526844856527
0,1,1,0.0220765330662296,0
0,0,0,0.660818448982455,0.130900598130901
1,0,0,0.00572481801717445,0
0,0,0,0,0.0466906281400719
0,0,0,0,0.452722626358168
0,1,1,0,0
0,0,0,0.441785831883572,0.50058674550176
1,0,0,0.216537387433075,0
0,0,0,0.341676780683354,0.528394257056789
0,0,0,0,0.38821984077644
0,1,1,0,0
0,0,0,0,0.0833859021667718
1,0,0,0.000519966000519966,0
0,0,0.48508047148508,0.99948003399948,0.735792345735792
0,0,0,0,0.228681386228681
0,1,0.51491952851492,0.402369541804739,0.0355262680355263
0,0,0,0,0
1,0,0,0.049118002098236,0
0,0,0.572910393145821,0.548512456097025,0.0836044461672089
0,0,0.0382045720764091,0,0.324858045649716
0,1,0.38888503477777,0.28907998957816,0.591537508183075
0,0,0,0,0
1,0,0,0.261056906522114,0
0,0,0.714854769714855,0.449863103899726,0
0,0,0.0247113760247114,0,0.417261839834524
0,0.929892045929892,0.260433854260434,0.0870956880870957,0.551726262103453
0,0.0701079540701079,0,0,0.0310118980620238
0.860953043,0,0,0,0
0,0,0.309319583618639,0.912904311912904,0
0.139046957,0,0.307723378615447,0,0.083823530167647
0,1,0.382957037765914,0,0.810849536621699
0,0,0,0,0.105326933210654
0.34017004534017,0,0,0,0
0,0,0.541072493082145,1,0
0.65982995465983,0,0.199966027399932,0,0
0,1,0.258961479517923,0,1
0,0,0,0,0
0.241580853241581,0,0,0,0
0,0,0.0795237570795237,1,0
0.758419146758419,0,0,0,0
0,1,0.920476242920476,0,1
0,0,0,0.648591034648591,0
0,0,0,0,0
0,0,0.514169402514169,0.351408965351409,0
1,0,0,0,0
0,1,0.485830597485831,0,1
0,0,0,0.311131885933396,0
0.367041254367041,0,0,0.0220765330662296,0
0,0,1,0.666791581000375,0
0.632958745632959,0,0,0,0.354211726354212
0,1,0,0,0.645788273645788
0,0,0,0.420247054260741,0
0.625764389625764,0,0,0.0220771820662315,0
0,0,1,0.557675763673027,0
0.374235610374236,0,0,0,0.989230469
0,1,0,0,0.010769531
0,0,0,0.621454245621454,0
0.955735418955735,0,0,0.0265967240265967,0
0,0,1,0.351949030351949,0
0.0442645810442646,0,0,0,0.954688383954688
0,1,0,0,0.0453116160453116
0,0,0,0,0
1,0,0,0.996958649996959,0
0,0,1,0.00304135000304135,0
0,0,0,0,0.0107967610107968
0,1,0,0,0.859567546859568
0,0,0,0,0.129635692129636
0.304528571304529,0,0,0.445939366337818,0
0,0,0.840774841,0.554060633662182,0
0.695471428695471,0.124719270124719,0,0,0.030891976030892
0,0.875280729875281,0.159225159,0.333457166000372,0.0956154890956155
0,0,0,0,0.873492534873493
0,0,0,0.223275553669827,0
0.234257235234257,0,1,0.443267280329802,0
0.765742764765743,0.422195309,0,0,0.747090749494182
0,0.577804691,0,0,0.0289106570578213
0,0,0,0,0.223998593447997
0,0,0,0.954021215954021,0
0.545155721,0,1,0.0459787840459788,0
0.454844279,0.078912972078913,0,0,0.0169267900507804
0,0.921087027921087,0,0,0.291972221875917
0,0,0,0,0.691100988073303
0,0,0.031457954,0.356986421713973,0
0.488973733977947,0,0.968542046,0.643013578286027,0
0.511026266022053,0,0,0,0.817284402817284
0,1,0,0,0
0,0,0,0,0.182715597182716
0,0,0.0283777420283777,0.665777797997333,0
0.0446691430446691,0,0.971622257971622,0.334222202002667,0.098497348295492
0.955330856955331,0,0,0,0.512868523538606
0,1,0,0.000127722000383166,0
0,0,0,0,0.388634128165902
