"V1","V2","V3","V4","V5","V6"
0,0,0,0.355583402355583,0,0
0,0,0,0.644416597644417,0,0
0.279864542119458,0.228563048228563,0,0,0.299686101299686,0
0,0,0,0,0,1
0,0.712392606712393,0.409929102819858,0,0.0557339200557339,0
0.720135457880542,0.0590443450590444,0.590070897180142,0,0.64457997864458,0
0,0,0,0.00834150601668301,0,0
0,0,0,0.228612780457226,0,0
1,0.660888082982664,0,0,0.14929027814929,0
0,0,0,0.728447327456895,0,0.825266330825266
0,0.240802235722407,0.204378400408757,0,0.0663414950663415,0
0,0.098309681294929,0.795621599591243,0.0345983860691968,0.784368226784368,0.174733669174734
0,0,0.155374534155375,0,0,0
0,0,0,0,0.186785694186786,0
1,0.120940534241881,0.19582973919583,0,0.813214305813214,0
0,0,0,0.24122987924123,0,0.0988107420988107
0,0.879059465758119,0,0,0,0.0514530790514531
0,0,0.648795726648796,0.75877012075877,0,0.849736178849736
0,0.334288896668578,0.551020367204081,0,0,0
0,0,0,0,0.706096883706097,0
1,0.100981115201962,0.364743793458975,0,0.272472205272472,0.0347303780347304
0,0,0,0,0,0
0,0.56472998812946,0,0.220483410220483,0,0
0,0,0.0842358393369434,0.779516589779517,0.0214309110214309,0.96526962196527
0,0.147053774294108,0,0,0,0
0,0,0,0,0.378573181,0
1,0.391531367783063,0.486166558972333,0,0,0.75510954575511
0,0,0,0,0.042061785,0
0,0.269933905539868,0.0257623270515247,0.183783067183783,0,0
0,0.191480952382962,0.488071113976142,0.816216932816217,0.579365034,0.24489045424489
0,0,0,0,0.161329339161329,0
0,0,0.0939329120939329,0.341208987023627,0,0.118871302118871
0.982736595982737,0,0,0,0,0.881128697881129
0,0,0,0.136493657409481,0.807975272807975,0
0,0.88284004888284,0.0257623270257623,0,0,0
0.0172634040172634,0.11715995111716,0.880304760880305,0.522297355566892,0.0306953880306954,0
0,0.0606760650606761,0,0,0.36453658609361,0
0,0,0.347686306043059,0.212762233425524,0.100560448301681,0.69957505539915
0.20213334,0,0,0,0.068511332205534,0.30042494460085
0,0,0,0.468218249936437,0.429890776289672,0
0,0.939323934939324,0.15773677447321,0.319019516638039,0,0
0.79786666,0,0.494576919483731,0,0.0365008571095026,0
0,0.340917236340917,0,0,0.281033957562068,0
0,0,0.00814908000814908,0,0.0257511760515024,0.0741090742964363
0.384809506154429,0,0,0,0.269686759539374,0.696250459785002
0,0,0,0.895201215895201,0,0
0.062169331186508,0.659082763659083,0.0479852530479853,0.104798784104799,0.0163852970327706,0
0.553021162659064,0,0.943865666943866,0,0.407142809814286,0.229640465918562
