category,min,max,mean,stddev,sum,count
11542,0.047803412,0.047803412,0.047803412,nan,0.047803412,1
11543,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
11540,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
11541,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
11546,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
11547,0.047803412,0.047803412,0.047803412,nan,0.047803412,1
11544,0.047803412,0.047803412,0.047803412,nan,0.047803412,1
11545,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
11548,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
11549,0.024901965,0.033342427,0.029122196,0.00596830791655,0.058244392,2
5988,0.437073313,0.437073313,0.437073313,nan,0.437073313,1
5989,0.448396967,0.448396967,0.448396967,nan,0.448396967,1
19399,0.042402364,0.042402364,0.042402364,nan,0.042402364,1
19398,0.042402375,0.042402375,0.042402375,nan,0.042402375,1
5982,0.033162889,0.033162889,0.033162889,nan,0.033162889,1
19396,0.042402364,0.042402364,0.042402364,nan,0.042402364,1
5980,0.048757607,0.048757607,0.048757607,nan,0.048757607,1
5981,0.04875762,0.04875762,0.04875762,nan,0.04875762,1
19393,0.042402364,0.042402364,0.042402364,nan,0.042402364,1
5987,0.073608488,0.073608488,0.073608488,nan,0.073608488,1
19391,0.027060334,0.027060334,0.027060334,nan,0.027060334,1
28561,1.104119219,1.104119219,1.104119219,nan,1.104119219,1
29237,0.207906841,0.207906841,0.207906841,nan,0.207906841,1
270,0.0,1.235370592,0.617685296,0.873538922882,1.235370592,2
271,0.251809654,0.251809654,0.251809654,nan,0.251809654,1
19971,0.948593111,0.948593111,0.948593111,nan,0.948593111,1
19970,0.243250439,0.379805339,0.311527889,0.0965588957943,0.623055778,2
16709,0.055072859,0.055072859,0.055072859,nan,0.055072859,1
16708,0.0,0.012649581,0.0063247905,0.00894460450427,0.012649581,2
276,0.0,0.0,0.0,nan,0.0,1
277,0.0,0.042959527,0.0214797635,0.0303769728583,0.042959527,2
278,0.058357212,0.058357212,0.058357212,nan,0.058357212,1
279,0.058357197,0.058357197,0.058357197,nan,0.058357197,1
16707,0.0,0.147079248,0.073539624,0.104000733633,0.147079248,2
19978,0.08298986,0.08298986,0.08298986,nan,0.08298986,1
16701,0.047803412,0.047803412,0.047803412,nan,0.047803412,1
16700,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
16703,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
16702,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
12019,0.09996024,0.09996024,0.09996024,nan,0.09996024,1
12018,0.059712899,0.059712899,0.059712899,nan,0.059712899,1
12015,0.065779416,0.065779416,0.065779416,nan,0.065779416,1
12016,0.045195894,0.045195894,0.045195894,nan,0.045195894,1
12010,0.09962923,1.29153223,0.69558073,0.842802693817,1.39116146,2
17258,0.163163868,0.163163868,0.163163868,nan,0.163163868,1
17259,0.058407539,0.105724826,0.0820661825,0.0334583745051,0.164132365,2
17250,0.047803412,0.047803412,0.047803412,nan,0.047803412,1
17251,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
17252,0.0478034,0.0478034,0.0478034,nan,0.0478034,1
17253,0.0064972,0.045899864,0.026198532,0.0278618909112,0.052397064,2
17254,0.025668696,0.040283052,0.032975874,0.0103339102303,0.065951748,2
17255,0.033748844,0.047971392,0.040860118,0.0100568601366,0.081720236,2
17256,0.027186792,0.070369167,0.0487779795,0.0305345501902,0.097555959,2
17257,0.016383776,0.107242358,0.061813067,0.0642467194612,0.123626134,2
10709,0.00065298,0.152785368,0.076719174,0.107573843193,0.153438348,2
10708,0.153819536,0.153819536,0.153819536,nan,0.153819536,1
9258,0.03144425,0.03144425,0.03144425,nan,0.03144425,1
9259,0.03144425,0.03144425,0.03144425,nan,0.03144425,1
9256,0.031444266,0.031444266,0.031444266,nan,0.031444266,1
9257,0.03144425,0.03144425,0.03144425,nan,0.03144425,1
10701,0.184965559,0.184965559,0.184965559,nan,0.184965559,1
9255,0.009605329,0.076651237,0.043128283,0.0474086161976,0.086256566,2
9252,0.11036446,0.11036446,0.11036446,nan,0.11036446,1
9253,0.11036446,0.11036446,0.11036446,nan,0.11036446,1
9250,0.097118916,0.097118916,0.097118916,nan,0.097118916,1
9251,0.016634294,0.091461529,0.0540479115,0.0529108452859,0.108095823,2
21619,0.096331991,0.096331991,0.096331991,nan,0.096331991,1
21618,0.096331991,0.096331991,0.096331991,nan,0.096331991,1
21615,0.096331991,0.096331991,0.096331991,nan,0.096331991,1
21614,0.096331991,0.096331991,0.096331991,nan,0.096331991,1
21617,0.096332016,0.096332016,0.096332016,nan,0.096332016,1
21616,0.096331991,0.096331991,0.096331991,nan,0.096331991,1
21611,0.008011995,0.090459514,0.0492357545,0.0582991997769,0.098471509,2
21610,0.006141535,0.123049014,0.0645952745,0.0826660711723,0.129190549,2
21613,0.096332016,0.096332016,0.096332016,nan,0.096332016,1
21612,0.096331991,0.096331991,0.096331991,nan,0.096331991,1
19397,0.042402364,0.042402364,0.042402364,nan,0.042402364,1
19395,0.042402364,0.042402364,0.042402364,nan,0.042402364,1
19394,0.042402375,0.042402375,0.042402375,nan,0.042402375,1
19392,0.042402364,0.042402364,0.042402364,nan,0.042402364,1
29236,0.207906734,0.207906734,0.207906734,nan,0.207906734,1
32836,0.073158944,0.073158944,0.073158944,nan,0.073158944,1
36421,0.104042362,0.104042362,0.104042362,nan,0.104042362,1
13058,0.055072859,0.055072859,0.055072859,nan,0.055072859,1
13059,0.055072859,0.055072859,0.055072859,nan,0.055072859,1
41398,0.085159635,0.085159635,0.085159635,nan,0.085159635,1
13052,0.055072873,0.055072873,0.055072873,nan,0.055072873,1
13053,0.055072859,0.055072859,0.055072859,nan,0.055072859,1
13050,0.055072873,0.055072873,0.055072873,nan,0.055072873,1
13051,0.055072859,0.055072859,0.055072859,nan,0.055072859,1
13056,0.055072859,0.055072859,0.055072859,nan,0.055072859,1
13057,0.055072859,0.055072859,0.055072859,nan,0.055072859,1
13054,0.055072859,0.055072859,0.055072859,nan,0.055072859,1
13055,0.055072873,0.055072873,0.055072873,nan,0.055072873,1
20258,0.036715213,0.036715213,0.036715213,nan,0.036715213,1
20259,0.036715222,0.036715222,0.036715222,nan,0.036715222,1
20253,0.019866471,0.019866471,0.019866471,nan,0.019866471,1
20256,0.028707557,0.028707557,0.028707557,nan,0.028707557,1
20257,0.011270573,0.015710062,0.0134903175,0.0031391927769,0.026980635,2
20254,0.068807409,0.068807409,0.068807409,nan,0.068807409,1
20255,0.047472858,0.047472858,0.047472858,nan,0.047472858,1
40966,0.012786815,0.012786815,0.012786815,nan,0.012786815,1
40967,0.03905195,0.03905195,0.03905195,nan,0.03905195,1
44425,1.303358664,1.303358664,1.303358664,nan,1.303358664,1
44424,0.241661375,1.210387604,0.7260244895,0.684992885639,1.452048979,2
29769,0.0,0.596793143,0.2983965715,0.421996478381,0.596793143,2
29768,0.0,0.57770709,0.288853545,0.408500600879,0.57770709,2
40960,0.289258522,0.289258522,0.289258522,nan,0.289258522,1
40961,0.289258522,0.289258522,0.289258522,nan,0.289258522,1
29765,0.269212006,0.269212006,0.269212006,nan,0.269212006,1
29764,0.269211936,0.269211936,0.269211936,nan,0.269211936,1
29767,0.0,0.126437874,0.0684484886667,0.0638645334071,0.205345466,3
29766,0.269211936,0.269211936,0.269211936,nan,0.269211936,1
29761,0.269211936,0.269211936,0.269211936,nan,0.269211936,1
29760,0.269211936,0.269211936,0.269211936,nan,0.269211936,1
29763,0.269211936,0.269211936,0.269211936,nan,0.269211936,1
29762,0.269212006,0.269212006,0.269212006,nan,0.269212006,1
1177,0.024659442,0.024659442,0.024659442,nan,0.024659442,1
1176,0.024659448,0.024659448,0.024659448,nan,0.024659448,1
1175,0.024659442,0.024659442,0.024659442,nan,0.024659442,1
1174,0.024659442,0.024659442,0.024659442,nan,0.024659442,1
1173,0.024659448,0.024659448,0.024659448,nan,0.024659448,1
1172,0.021031248,0.023681801,0.0223565245,0.00187422400019,0.044713049,2
1171,0.000215254,0.525849592,0.263032423,0.371679604824,0.526064846,2
1170,0.530480059,0.530480059,0.530480059,nan,0.530480059,1
