n,model,warmup,sample,tot,perCell
10,cauch0_Lmx0,11.414,6.782,18.195999999999998,1.8195999999999999
10,cauch0_Lmx0,26.35,5.832,32.182,3.2182000000000004
10,cauch0_Lmx0,24.063,6.097,30.16,3.016
10,cauch0_Lmx0,16.817,7.607,24.424,2.4424
10,cauch0_Lmx0,19.353,8.25,27.603,2.7603
10,cauch0_Lmx0,15.176,11.329,26.505000000000003,2.6505
10,cauch0_Lmx0,18.958,9.613,28.570999999999998,2.8571
10,cauch0_Lmx0,18.032,26.03,44.062,4.4062
10,cauch0_Lmx1,15.998,15.585,31.583,3.1582999999999997
10,cauch0_Lmx1,32.011,13.442,45.453,4.5453
10,cauch0_Lmx1,13.503,8.091,21.594,2.1594
10,cauch0_Lmx1,21.09,11.854,32.944,3.2944000000000004
10,cauch0_Lmx1,22.335,12.278,34.613,3.4613
10,cauch0_Lmx1,16.269,13.75,30.019,3.0019
10,cauch0_Lmx1,20.2,7.387,27.587,2.7587
10,cauch0_Lmx1,16.422,8.735,25.157,2.5157
10,cauch1_Lmx0,11.203,8.95,20.153,2.0153
10,cauch1_Lmx0,18.473,44.986,63.458999999999996,6.345899999999999
10,cauch1_Lmx0,19.742,4.311,24.053,2.4053
10,cauch1_Lmx0,12.955,19.311,32.266,3.2266
10,cauch1_Lmx0,18.833,37.938,56.771,5.6771
10,cauch1_Lmx0,17.814,6.053,23.867,2.3867000000000003
10,cauch1_Lmx0,19.508,11.411,30.918999999999997,3.0919
10,cauch1_Lmx0,11.106,14.05,25.156,2.5156
500,cauch0_Lmx0,844.696,283.767,1128.463,2.256926
500,cauch0_Lmx0,433.798,795.94,1229.738,2.459476
500,cauch0_Lmx0,396.209,510.219,906.428,1.812856
500,cauch0_Lmx0,378.638,666.429,1045.067,2.090134
500,cauch0_Lmx0,415.47,364.076,779.546,1.5590920000000001
500,cauch0_Lmx0,698.058,767.983,1466.041,2.932082
500,cauch0_Lmx0,435.837,885.83,1321.667,2.643334
500,cauch0_Lmx0,483.829,641.167,1124.996,2.249992
500,cauch0_Lmx1,405.729,371.94,777.669,1.5553379999999999
500,cauch0_Lmx1,403.483,864.98,1268.463,2.536926
500,cauch0_Lmx1,399.858,357.614,757.472,1.514944
500,cauch0_Lmx1,411.176,453.044,864.22,1.72844
500,cauch0_Lmx1,379.01,542.995,922.005,1.84401
500,cauch0_Lmx1,521.48,599.655,1121.135,2.24227
500,cauch0_Lmx1,590.023,450.04,1040.063,2.0801260000000004
500,cauch0_Lmx1,515.682,530.941,1046.623,2.093246
500,cauch1_Lmx0,440.876,644.831,1085.7069999999999,2.171414
500,cauch1_Lmx0,436.286,274.132,710.418,1.420836
