n,model,warmup,sample,tot,perCell
10,evg0_p0,19.909,82.125,102.03399999999999,10.203399999999998
10,evg0_p0,13.976,8.051,22.027,2.2027
10,evg0_p0,22.094,7.381,29.475,2.9475000000000002
10,evg0_p0,15.587,15.739,31.326,3.1326
10,evg0_p0,13.938,13.705,27.643,2.7643
10,evg0_p0,20.277,11.721,31.998,3.1998
10,evg0_p0,21.154,17.172,38.326,3.8326000000000002
10,evg0_p0,20.427,7.364,27.791,2.7791
10,evg0_p1,19.616,13.46,33.076,3.3076
10,evg0_p1,14.649,11.61,26.259,2.6259
10,evg0_p1,22.499,15.217,37.716,3.7716000000000003
10,evg0_p1,17.752,9.559,27.311,2.7311
10,evg0_p1,13.862,15.403,29.265,2.9265
10,evg0_p1,15.413,8.132,23.545,2.3545000000000003
10,evg0_p1,19.616,6.816,26.432,2.6431999999999998
10,evg0_p1,26.415,5.486,31.901,3.1901
10,evg1_p0,18.178,9.943,28.121000000000002,2.8121
10,evg1_p0,19.937,7.902,27.839000000000002,2.7839
10,evg1_p0,22.825,6.818,29.643,2.9643
10,evg1_p0,16.694,8.214,24.908,2.4908
10,evg1_p0,12.588,9.03,21.618,2.1618
10,evg1_p0,21.524,11.492,33.016000000000005,3.3016000000000005
10,evg1_p0,15.864,8.986,24.85,2.4850000000000003
10,evg1_p0,17.53,8.558,26.088,2.6088
10,evg2_p2,11.408,6.763,18.171,1.8171
10,evg2_p2,25.925,6.27,32.195,3.2195
10,evg2_p2,24.25,6.767,31.017,3.1017
10,evg2_p2,17.104,7.867,24.971,2.4971
10,evg2_p2,19.264,8.07,27.334,2.7334
10,evg2_p2,14.566,11.888,26.454,2.6454
10,evg2_p2,18.933,9.95,28.883,2.8883
10,evg2_p2,17.883,25.956,43.839,4.3839
500,evg0_p0,426.015,365.617,791.6320000000001,1.5832640000000002
500,evg0_p0,491.461,372.697,864.158,1.728316
500,evg0_p0,408.259,362.373,770.6320000000001,1.5412640000000002
500,evg0_p0,418.969,699.301,1118.27,2.2365399999999998
500,evg0_p0,520.402,554.009,1074.411,2.148822
500,evg0_p0,578.213,576.666,1154.879,2.309758
500,evg0_p0,440.249,408.102,848.351,1.696702
500,evg0_p0,484.152,350.924,835.076,1.670152
500,evg0_p1,889.587,889.875,1779.462,3.558924
500,evg0_p1,517.489,559.891,1077.38,2.15476
500,evg0_p1,475.539,624.441,1099.98,2.19996
500,evg0_p1,400.352,664.452,1064.804,2.129608
500,evg0_p1,425.644,603.014,1028.658,2.0573159999999997
500,evg0_p1,414.613,362.238,776.851,1.553702
500,evg0_p1,592.639,1057.76,1650.399,3.300798
500,evg0_p1,615.227,597.745,1212.972,2.425944
500,evg1_p0,422.007,503.493,925.5,1.851
500,evg1_p0,574.382,515.137,1089.5189999999998,2.1790379999999994
500,evg1_p0,397.65,498.921,896.5709999999999,1.7931419999999998
500,evg1_p0,391.484,687.701,1079.185,2.1583699999999997
500,evg1_p0,467.779,361.521,829.3,1.6585999999999999
500,evg1_p0,423.337,363.089,786.4259999999999,1.572852
500,evg1_p0,661.882,495.275,1157.157,2.314314
500,evg1_p0,447.855,531.574,979.429,1.958858
